Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
"Hành vi nào sau đây của bên mua điện là vi phạm HĐMBĐ?","Sử dụng điện đúng mục đích ghi trong hợp đồng","Sử dụng đúng công suất đã đăng ký trong biểu đồ đăng ký công suất sử dụng điện vào giờ cao điểm","Thanh toán tiền điện theo quy định","Không chấm dứt hợp đồng khi không sử dụng điện","D"
"Khi bên bán điện ký nhiều hợp đồng mua bán điện với bên mua điện tại nhiều địa điểm khác nhau mà bên mua điện vi phạm thanh toán tiền điện tại một địa điểm thì bên bán điện sẽ thực hiện?","Bên bán điện có quyền ngừng cấp điện tất cả các công tơ của bên mua điện để đòi nợ theo đúng quy định hiện hành.","Bên bán điện không có quyền ngừng cấp điện bất cứ công tơ nào.","Bên bán điện có quyền ngừng cấp điện tại địa điểm có công tơ vi phạm thanh toán để đòi nợ theo đúng quy định hiện hành","Bên bán điện có quyền ngừng cấp điện tại công tơ ở trụ sở chính của khách hàng và địa điểm có công tơ vi phạm thanh toán để đòi nợ","C"
"Khi ngừng, giảm mức cung cấp điện theo kế hoạch, bên bán điện phải gửi thông báo bằng văn bản hoặc các thông báo bằng hình thức khác được thỏa thuận trong HĐMBĐ đến đối tượng khách hàng nào?","Khách hàng sử dụng điện trung bình trên 50.000 kWh/tháng","Khách hàng sử dụng điện trung bình trên 100.000 kWh/tháng","Khách hàng sử dụng điện trên 200.000 kWh/tháng","Khách hàng sử dụng điện trên 300.000 kWh/tháng","B"
"Nếu 01 HĐMBĐ ký kết cho nhiều điểm đo đếm điện, khi thực hiện thanh lý một hoặc một vài điểm đo trong HĐMBĐ đó, đơn vị thực hiện như thế nào?","Lập Biên bản chấm dứt HĐMBĐ của các điểm đo thanh lý","Chấm dứt HĐMBĐ cũ, đồng thời ký lại HĐMBĐ mới cho các điểm đo còn lại","Ký phụ lục bổ sung hợp đồng và điều chỉnh các Điều, Khoản thay đổi trong HĐMBĐ đã ký kết","Chấm dứt HĐMBĐ cũ, đồng thời ký lại HĐMBĐ mới cho các điểm đo còn lại hoặc ký Hợp đồng sửa đổi, bổ sung HĐMBĐ đã ký kết","D"
"Thời hạn tối đa của HĐMBĐ ngoài mục đích sinh hoạt là bao lâu","05 năm","10 năm","15 năm","Do hai bên thỏa thuận, nhưng không quá thời hạn có giá trị hiệu lực của thông tin xác định chủ thể HĐMBĐ tại địa điểm sử dụng điện và không quá 05 năm","D"
"Quy định về thời gian giải quyết của CTĐL đối với trường hợp khách hàng đề nghị thay đổi chủ thể HĐMBĐ?","Không quá 02 ngày làm việc đối với khách hàng sử dụng điện sinh hoạt; Không quá 03 ngày làm việc đối với khách hàng sử dụng điện ngoài sinh hoạt","Không quá 03 ngày làm việc đối với khách hàng sử dụng điện sinh hoạt; Không quá 05 ngày làm việc đối với khách hàng sử dụng điện ngoài sinh hoạt","Không quá 02 ngày làm việc","Không quá 03 ngày làm việc","D"
"Trường hợp khách hàng có nhu cầu mua điện từ lưới điện trung áp có đầu tư công trình lưới điện, khách hàng phải chịu chi phí gì?","Toàn bị chi phí xây dựng công trình","Toàn bộ chi phí phát sinh từ điểm đấu nối đã thỏa thuận đến địa điểm sử dụng điện của khách hàng (trừ công tơ)","Mất chi phí một phần","Ngành điện đầu tư toàn bộ công trình","B"
"Theo quy định của EVNHANOI đối với khu vực các Phường, thời gian cung cấp dịch vụ bao nhiêu ngày làm việc?","01 ngày","07 ngày","05 ngày","03 ngày (trừ trường hợp lắp dựng thêm cột/cáp ngầm/lắp đặt máy biến dòng điện)","D"
"Theo quy định của EVNHANOI đối với khu vực các Xã, thời gian cung cấp dịch vụ bao nhiêu ngày làm việc?","01 ngày","03 ngày","07 ngày","05 ngày (trừ trường hợp lắp dựng thêm cột/cáp ngầm/lắp đặt máy biến dòng điện)","D"
"Khách hàng có thể đăng ký cấp điện qua các hình thức nào?","Web EVNHANOI, App EVNHANOI, EPOINT, Zalo, Email, Chatbot, Phòng GDKH, Cổng DVCQG, Tổng đài 19001288","Web EVNHANOI, App EVNHANOI, EPOINT, Zalo, Email, Chatbot, Phòng GDKH, Cổng DVCQG, Tổng đài 19001288, Dịch vụ nhắn tin truy vấn qua đầu số 8088","Web EVNHANOI, App EVNHANOI, Zalo, Email, Chatbot, Phòng GDKH, Cổng DVCQG, Tổng đài 19001288, Fanpage EVNHANOI","Web EVNHANOI, App EVNHANOI, Email, Chatbot, Phòng GDKH, Cổng DVCQG, Tổng đài 19001288","D"
"Tổng Công ty Điện lực Thành phố Hà Nội đang nỗ lực làm hài lòng khách hàng sử dụng điện bằng các giải pháp?","Khuyến mại thường xuyên đối với khách hàng sử dụng điện sản lượng lớn.","Sửa chữa điện miễn phí cho khách hàng.","Giảm giá bán điện cho khách hàng.","Nâng cao chất lượng điện năng và nâng cao chất lượng dịch vụ khách hàng","D"
"Sau bao nhiêu chu kỳ ghi chỉ số có công suất sử dụng thực tế cực đại ≥ 40 kW, CTĐL phải thoả thuận lại với các khách hàng sản xuất, kinh doanh, dịch vụ có công suất sử dụng cực đại đăng ký trong HĐMBĐ < 40kW?","1 chu kỳ","2 chu kỳ","3 chu kỳ","4 chu kỳ","C"
"Khách hàng đăng ký mua điện không cung cấp được thông tin xác định chủ thể HĐMBĐ tại địa điểm sử dụng điện thì Công ty Điện lực thực hiện như thế nào?","Đề nghị KH xin xác thông tin xác định chủ thể HĐMBĐ tại UBND Phường/Xã nơi khách hàng cư trú","Đề nghị KH xin xác thông tin xác định chủ thể HĐMBĐ tại Công an Phường/Xã nơi khách hàng cư trú","Có thể căn cứ các giấy tờ hợp pháp khác có đủ thông tin xác định chủ thể HĐMBĐ tại địa điểm sử dụng điện","Khách hàng không đủ điều kiện cấp điện.","C"
"Giá trị tài sản bảo đảm sẽ được điều chỉnh như thế nào đối với khách hàng mua điện phục vụ mục đích ngoài sinh hoạt có sản lượng điện đăng ký mua (đối với KH đăng ký mới) hoặc có sản lượng điện tiêu thụ bình quân tháng của năm trước liền kề (đối với KH đang sử dụng điện) tại tất cả các điểm đo theo HĐMBĐ từ 1.000.000 kWh/tháng trở lên?","3 năm 01 (một) lần","2 năm 01 (một) lần","1 năm 01 (một) lần","1 năm 2 (hai) lần","C"
"Hồ sơ gia hạn hợp đồng mua bán điện, bao gồm?","Thông tin chứng thực cá nhân của người đại diện ký kết HĐMBĐ đang thực hiện","Thông tin xác định chủ thể HĐMBĐ đang thực hiện tại địa điểm sử dụng điện","Hợp đồng sửa đổi, bổ sung HĐMBĐ về gia hạn thời hạn của hợp đồng","Thông tin chứng thực cá nhân của người đại diện ký kết HĐMBĐ; Thông tin xác định chủ thể HĐMBĐ tại địa điểm sử dụng điện của HĐMBĐ đang thực hiện và Hợp đồng sửa đổi, bổ sung HĐMBĐ về gia hạn thời hạn của hợp đồng.","D"
"Hồ sơ chấm dứt HĐMBĐ trước thời hạn?","Hồ sơ KH cung cấp: Thông tin chứng thực cá nhân của người đại diện ký kết HĐMBĐ","Biên bản chấm dứt HĐMBĐ, Biên bản treo, tháo thiết bị đo đếm, Biên bản xác nhận đã hết các khoản nợ: tiền điện; tiền bồi thường và phạt (nếu có)... đã cam kết thanh toán nêu trong HĐMBĐ","Biên bản treo, tháo thiết bị đo đếm; Biên bản xác nhận đã hết các khoản nợ: tiền điện; tiền bồi thường và phạt (nếu có)... đã cam kết thanh toán nêu trong HĐMBĐ","Thông tin/Văn bản về việc chấm dứt HĐMBĐ trước thời hạn, Biên bản chấm dứt HĐMBĐ, Biên bản treo, tháo thiết bị đo đếm, Biên bản xác nhận đã hết các khoản nợ: tiền điện; tiền bồi thường và phạt (nếu có)... đã cam kết thanh toán nêu trong HĐMBĐ","D"
"Thẩm quyền đàm và ký kết HĐMBĐ của các Công ty Điện lực bao gồm?","Khách hàng mua điện sau TBA chuyên dùng có tổng công suất tại một địa điểm > 10.000 kVA và các khách hàng mua điện sau TBA công cộng thuộc địa bàn quản lý của đơn vị","Khách hàng mua điện từ cấp điện áp 110kV trở xuống thuộc địa bàn quản lý của đơn vị","Khách hàng mua điện sau TBA chuyên dùng và các khách hàng mua điện sau TBA công cộng thuộc địa bàn quản lý của đơn vị","Khách hàng mua điện thuộc địa bàn quản lý của đơn vị","B"
"Thẩm quyền thực hiện HĐMBĐ theo cấp điện áp của các Công ty Điện lực?","Công ty Điện lực thực hiện các HĐMBĐ có điện áp trên 110 kV thuộc địa bàn quản lý của đơn vị","Công ty Điện lực thực hiện các HĐMBĐ có điện áp dưới 110 kV thuộc địa bàn quản lý của đơn vị","Công ty Điện lực thực hiện các HĐMBĐ đã ký kết thuộc địa bàn quản lý của đơn vị","Không có đáp án đúng","C"
"Chủ thể ký kết HĐMBĐ đối với tổ chức là:……?","Giám đốc","Chủ tịch HĐQT","Người đại diện hợp pháp theo pháp luật của Bên mua điện","Chánh văn phòng","C"
"Chủ thể ký kết HĐMBĐ đối với cá nhân là?","Chủ hộ","Người thuê nhà","Người có tên trong giấy tờ sử dụng để đăng ký mua điện","Phải có đủ năng lực hành vi dân sự theo quy định của pháp luật và có tên trong giấy tờ sử dụng để đăng ký mua điện. Đối với những người chưa đủ năng lực hành vi dân sự phải do người đại diện hợp pháp xác lập và thực hiện theo quy định của pháp luật","D"
"Khách hàng mua điện dưới 01 tháng: giá trị bảo đảm HĐMBĐ được tính bằng giá điện năng ………... nhân với sản lượng điện tương ứng theo số ngày KH đăng ký sử dụng?","Giờ cao điểm","Giờ thấp điểm","Giờ bình thường","Bình quân","C"
"Thông tin đăng ký biểu đồ phụ tải dành cho các khách hàng nào?","Khách hàng sản xuất, kinh doanh dịch vụ có công suất đăng ký ≥ 40kW","Khách hàng sản xuất, kinh doanh dịch vụ có công suất đăng ký < 40kW","Khách hàng cơ quan hành chính có công suất đăng ký ≥ 40kW","Khách hàng Bệnh viện, trường học công suất đăng ký ≥ 40kW","A"
"Nhân viên khảo sát có trách nhiệm thông báo chi phí cấp điện cho khách hàng khi nào?","Sau khí kí hợp đồng MBĐ","Ngay sau khi khảo sát tại địa điểm mua điện của khách hàng.","Trước khi thi công đóng điện","Trước khi lập biên bản treo tháo","B"
"Trường hợp bất khả kháng không đấu nối được tại điểm gần địa điểm mua điện của khách hàng thì đơn vị phải","Thỏa thuận với khách hàng về vị trí đấu nối khác","Báo cáo với lãnh đạo đơn vị phương án giải quyết","Báo cáo, xin ý kiến của Tổng công ty.","Cập nhật trở ngại trên chương trình và giải quyết để lắp đặt tại vị trí mua điện gần khách hàng nhất.","C"
"Trong vòng …... sau khi nhận được hồ sơ cấp điện hạ áp, Đơn vị thi công thực hiện thông báo và thống nhất với khách hàng ngày thi công cấp điện?","03 giờ","02 giờ","01 giờ","Đơn vị tự quy định nhưng phải đảm bảo tiến độ cấp điện cam kết với khách hàng.","D"
"Thành phần nghiệm thu cấp điện mới hạ áp gồm?","*Khách hàng; *Bộ phận được giao chủ trì nghiệm thu; *Đội quản lý điện; * Bộ phận thi công.","* Khách hàng; * Bộ phận được giao chủ trì nghiệm thu; * Đội quản lý điện; * Bộ phận treo tháo công tơ; * Bộ phận thi công.","* Khách hàng; * Bộ phận được giao chủ trì nghiệm thu; * Đội quản lý điện; * Bộ phận treo tháo công tơ; Bộ phận thi công. * Lãnh đạo đơn vị.","*Khách hàng; *Bộ phận được giao chủ trì nghiệm thu; *Bộ phận thi công.","C"
"Trong vòng ….. kể từ khi thực hiện nghiệm thu ngoài hiện trường, bộ phận được giao nhiệm vụ phải thực hiện: trình lãnh đạo đơn vị ký số các hồ sơ giấy tờ trên hệ thống CMIS, treo công tơ và chuyển khai thác hoàn tất hồ sơ trên CMIS?","01 ngày","02 ngày","12 giờ","08 giờ","A"
"Đảm bảo thực hiện quyết toán vật tư cấp điện trong vòng ………. kể từ khi nghiệm thu đóng điện cho khách hàng?","15 ngày","07 ngày","10 ngày","05 ngày","C"
"Thời gian ký duyệt toàn bộ hồ sơ sau khi hoàn thành khảo sát không quá …..?","01 ngày","12 giờ","8 giờ","Không quy định nhưng phải đảm bảo tiến độ cấp điện cam kết với khách hàng.","D"
"Các lỗi ảnh hưởng đến thời gian, tiến độ cấp điện cam kết đối với khách hàng, đơn vị chịu trách nhiệm xử lý","Công ty Công nghệ thông tin Điện lực Hà Nội","Ban Kinh doanh","các Công ty Điện lực báo cáo Ban Kinh doanh để chỉ đạo xử lý","Công ty Công nghệ thông tin Điện lực Hà Nội báo cáo Ban Kinh doanh để chỉ đạo xử lý","D"
"Phòng nào trong CTĐL là đầu mối triển khai thực hiện, giải quyết các vướng mắc trong công tác cấp điện tại đơn vị?","Phòng kế hoạch vật tư","Đội quản lý điện","Phòng Kinh doanh","Phòng tài chính kế toán","C"
"Quy định thời gian Công ty Điện lực giải quyết các dịch vụ miễn phí trong quá trình thực hiện HĐMBĐ?","Không quá 03 ngày làm việc kể từ ngày tiếp nhận đủ hồ sơ yêu cầu của khách hàng","Không quá 04 ngày làm việc kể từ ngày tiếp nhận đủ hồ sơ yêu cầu của khách hàng","Không quá 05 ngày làm việc kể từ ngày tiếp nhận đủ hồ sơ yêu cầu của khách hàng","Không quá 07 ngày làm việc kể từ khi tiếp nhận đầy đủ hồ sơ theo quy định","A"
"Trường hợp khách hàng có nhu cầu thay đổi vị trí đo đếm, chi phí thay đổi do bên nào chịu trách nhiệm?","Khách hàng chịu toàn bộ chi phí thay đổi","Khách hàng chịu toàn bộ chi phí thay đổi (Trừ hệ thống thiết bị đo đếm và thiết bị đóng cắt là tài sản của Ngành điện)","Hai bên tự thoả thuận về chi phí thay đổi","Ngành điện chịu toàn bộ chi phí thay đổi","B"
"Thông tin khách hàng cung cấp theo quy định là dạng dữ liệu nào?","Là bản điện tử","Bản chụp từ thiết bị công nghệ hoặc bản sao có chứng thực","Bản phô tô và được đối chiếu với bản chính","Là dữ liệu điện tử, bản sao (bao gồm cả Bản chụp từ thiết bị công nghệ, Bản phô tô) và được đối chiếu với bản chính hoặc bản sao được chứng thực có giá trị sử dụng (nếu cần)","D"
"Trường hợp HĐMBĐ chỉ thay đổi về thời hạn hợp đồng (các thông tin khác trong hợp đồng khi thực hiện kiểm tra, đối soát tại thời điểm hết hạn hợp đồng không thay đổi), TCT/CTĐL phối hợp với khách hàng để thực hiện ký Phụ lục gia hạn Hợp đồng hoặc ký lại Hợp đồng (nếu một trong hai Bên có nhu cầu)?","Ký Hợp đồng sửa đổi, bổ sung HĐMBĐ đã ký hoặc ký lại Hợp đồng (nếu một trong hai Bên có nhu cầu)","Không ký Phụ lục gia hạn Hợp đồng hoặc ký lại Hợp đồng, Thực hiện điều chỉnh thời hạn HĐMBĐ trên chương trình CMIS.","Ký lại Hợp đồng","Ký Hợp đồng sửa đổi, bổ sung HĐMBĐ đã ký","A"
"Giá bán điện cho khách hàng do đơn vị nào quyết định?","Bộ Công Thương","Bộ Khoa học và công nghệ Việt Nam","Tổng cục tiêu chuẩn đo lường chất lượng","Tập đoàn Điện lực Việt Nam","A"
"Khách hàng đang sử dụng điện, Điện lực có được quyền ngừng cấp điện cho khách hàng không?","Không","Có","Được quyền ngừng cấp điện cho khách hàng trong trường hợp khách hàng vi phạm các quy định của pháp luật","Được quyền ngừng cấp điện cho khách hàng trong trường hợp khách hàng vi phạm các quy định của pháp luật, theo yêu cầu của Cơ quan quản lý nhà nước có thẩm quyền.","D"
"Khách hàng yêu cầu cấp điện, Điện lực có được quyền từ chối cấp điện cho khách hàng không?","Không được từ chối cấp điện khi khách hàng đã có đủ hồ sơ theo yêu cầu, trừ trường hợp có văn bản của cơ quan quản lý nhà nước có thẩm quyền không cho phép cấp điện.","Không","Điện lực không được từ chối cấp điện do khách hàng đang có nhu cầu được cấp điện.","Có","A"
"EVNHANOI quy định CBNV khi giao dịch với khách hàng bên ngoài trụ sở đơn vị có liên quan đến thao tác vận hành hệ thống điện phải có giấy tờ gì?","Phiếu giao nhiệm vụ","Phiếu công tác","Phiếu thao tác","Một trong 3 giấy tờ trên","D"
"Bên mua điện có nhu cầu thay đổi vị trí thiết bị đo đếm tại cùng một địa điểm sử dụng điện phải chịu chi phí gì?","Vật tư và nhân công để lắp đặt dây sau công tơ (trừ áp tô mát hoặc cầu chì phía sau áp tô mát hoặc cầu chì bảo vệ công tơ); Thuế và các chi phí khác theo quy định của Nhà nước.","Toàn bộ chi phí (trừ công tơ)","Không mất chi phí gì","Thuế và các chi phí khác theo quy định của Nhà nước.","B"
"Việc sửa chữa lưới điện hạ thế phía trước công tơ bán điện cho khách hàng và trong phạm vi quản lý của Công ty Điện lực (trừ trường hợp hư hỏng do khách hàng gây ra), khách hàng có phải thanh toán chi phí sửa chữa không?","Không phải thanh toán chi phí sửa chữa.","Phải thanh toán chi phí sửa chữa.","Tùy trường hợp phải thanh toán chi phí sửa chữa.","Thanh toán chi phí sửa chữa theo thỏa thuận giữa hai bên.","A"
"Khi có nghi ngờ thiết bị đo đếm không chính xác, Bên mua điện có quyền yêu cầu Bên bán điện kiểm tra kiểm tra, sửa chữa hoặc thay thế xong trong thời hạn bao lâu kể từ ngày nhận được yêu cầu của Bên mua điện?","02 ngày","03 ngày","04 ngày","05 ngày","B"
"Ký số hợp đồng mua bán điện được thực hiện bằng cách gửi OTP qua hình thức nào?","Zalo","Email","SMS","Thông báo tại ứng dụng EVNHANOI CSKH","C"
"EVNHANOI quy định các kênh tiếp nhận báo sự cố mất điện?","Qua Chatbot","Tiếp nhận qua Tổng đài 19001288, Tiếp nhận trực tiếp tại Phòng giao dịch khách hàng của CTĐL, Web/App EVNHANOI","Tiếp nhận trực tiếp tại trụ sở Tổng công ty","Tiếp nhận trực tiếp tại trụ sở Công ty Điện lực","B"
"Khách hàng có thể ký số hồ sơ HĐMBĐ điện tử tại đâu?","Web Chăm sóc khách hàng","Web Chăm sóc khách hàng Ứng dụng EVNHANOI CSKH","Cổng thông tin Điện tử TP Hà Nội","Web Chăm sóc khách hàng App EVNHANOI CSKH Cổng thông tin Điện tử TP Hà Nội Cổng dịch vụ công quốc gia","D"
"Khách hàng thay đổi thông tin nào mà không phải ký Hợp đồng sửa đổi, bổ sung HĐMBĐ?","Địa chỉ sử dụng điện","Số điện thoại","Số ĐT nhận tin nhắn, Email nhận thông báo từ EVN HANOI, Hình thức thanh toán tiền điện","Hình thức thanh toán tiền điện","D"
"Khách hàng mua điện từ lưới điện hạ áp của ngành điện phải chịu các khoản chi phí nào?","Thuế và các chi phí khác theo quy định của Nhà nước","Vật tư và nhân công để lắp đặt dây sau thiết bị bảo vệ công tơ (Công tơ, cáp điện, dây dẫn, xà, sứ và các vật tư phụ)","Vật tư và nhân công để lắp đặt dây sau thiết bị bảo vệ công tơ (cáp điện, dây dẫn, xà, sứ và các vật tư phụ); aptomat trong hòm công tơ; Thuế và các chi phí khác theo quy định của Nhà nước","Vật tư và nhân công để lắp đặt dây sau thiết bị bảo vệ công tơ (cáp điện, dây dẫn, xà, sứ và các vật tư phụ). Thuế và các chi phí khác theo quy định của Nhà nước","D"
"Trường hợp Khách hàng có nhu cầu thay đổi công suất, chi phí đầu tư do bên nào chịu trách nhiệm?","Khách hàng chịu toàn bộ chi phí đầu tư","Đơn vị điện lực chịu toàn bộ chi phí đầu tư","Hai bên tự thoả thuận về chi phí đầu tư","Đơn vị điện lực chịu chi phí đối với thiết bị thuộc tài sản của Đơn vị điện lực, khách hàng chịu chi phí đối với thiết bị thuộc tài sản của Khách hàng","D"
"Theo Quy trình kinh doanh điện năng của EVNHANOI, thời hạn giải quyết dịch vụ thay đổi chủ thể hợp đồng mua bán điện (không bao gồm thời gian thực hiện của khách hàng) là bao lâu?","Không quá 01 ngày làm việc","Không quá 03 ngày làm việc","Không quá 05 ngày làm việc","Không quá 07 ngày làm việc","B"
"Trường hợp khách hàng giao kết hợp đồng sử dụng điện cho mục đích sinh hoạt sau một công tơ nhưng có sử dụng một phần cho các mục đích ngoài sinh hoạt thì cần áp dụng Hợp đồng mua bán điện (HĐMBĐ) loại nào?","HĐMBĐ sinh hoạt","HĐMBĐ ngoài sinh hoạt","HĐMBĐ ngắn hạn","HĐMBĐ sinh hoạt cho mục đích sinh hoạt và HĐMBĐ ngoài sinh hoạt cho mục đích kinh doanh","A"
"Khách hàng cấp điện mới được thực hiện kiểm tra áp giá bán điện như thế nào?","Việc kiểm tra áp giá bán điện được tiến hành trước khi ký kết hợp đồng mua bán điện","Việc kiểm tra áp giá bán điện được tiến hành ngay sau khi ký kết hợp đồng mua bán điện","Việc kiểm tra áp giá bán điện được tiến hành sau khi khách hàng sử dụng điện 30 ngày","Việc kiểm tra áp giá bán điện được tiến hành sau khi khách hàng sử dụng điện 15 ngày","A"
"Trong quy trình cấp điện mới, việc ký Hợp đồng mua bán điện (HĐMBĐ) được thực hiện tại thời điểm nào?","Khi thực hiện khảo sát cấp điện","Sau khi thi công xong nhánh rẽ","Sau khi phương án cấp điện được phê duyệt và khách hàng thanh toán chi phí cấp điện mới (nếu có)","Sau khi đã đóng điện nghiệm thu","C"
"Vị trí lắp đặt công tơ cấp điện mới phải đảm bảo điều kiện gì?","Lắp trong nhà khách hàng để bảo quản.","Lắp tại vị trí khách hàng yêu cầu bất kể kỹ thuật.","Tại vị trí ranh giới quản lý tài sản hoặc vị trí do 02 bên thỏa thuận, thuận tiện cho việc ghi chỉ số và kiểm tra.","Chỉ được lắp trên cột điện của ngành điện.","C"
"Khi thay đổi mục đích sử dụng điện làm thay đổi giá bán điện, thời gian xử lý là:","Không quá 03 ngày làm việc.","Không quá 05 ngày làm việc.","Không quá 07 ngày làm việc.","10 ngày làm việc.","A"
"Để thay đổi định mức số hộ dùng chung, cần dựa trên căn cứ nào?","Số lượng thiết bị điện trong nhà.","Số hộ thực tế cư trú tại địa điểm mua điện.","Thông tin xác định số hộ và ủy quyền của các hộ dùng chung hoặc thông tin số người sử dụng điện sinh hoạt được cơ quan có thẩm quyền xác nhận","Số người sinh sống tại địa điểm mua điện.","C"
"Đối với dịch vụ gia hạn HĐMBĐ có thời hạn, thời gian thực hiện là:","02 ngày làm việc","Không quá 03 ngày làm việc.","05 ngày làm việc","Thực hiện ngay khi có yêu cầu","B"
"Khi tách công tơ riêng, CTĐL phải thực hiện việc gì với HĐMBĐ đã ký?","Thay đổi định mức cũ","Ký Hợp đồng sửa đổi, bổ sung HĐMBĐ đã ký","Chấm dứt hợp đồng cũ","Thu hồi công tơ cũ","B"
"Trường hợp khách hàng tự túc hoàn toàn vật tư sau công tơ, đơn vị điện lực chỉ đóng điện khi nào?","Khi khách hàng đã nộp phí nghiệm thu","Khi khách hàng có giấy cam kết tự chịu trách nhiệm","Khi đường dây khách hàng thi công đảm bảo yêu cầu kỹ thuật, an toàn và vật tư của khách hàng theo tiêu chuẩn kỹ thuật.","Đóng điện theo yêu cầu khách hàng","C"
"Đối với dịch vụ cấp điện mới, nếu phải hạ ngầm cáp và cần xin phép đào hè đường, đơn vị điện lực phải làm gì?","Yêu cầu khách hàng tự đi xin phép","Chờ khi nào có giấy phép mới tiếp nhận hồ sơ","Phối hợp với khách hàng liên hệ xin phép","Từ chối cấp điện","C"
"Thỏa thuận tỷ lệ mục đích sử dụng điện và Thỏa thuận định mức sử dụng điện sinh hoạt được coi là:","Tài liệu tham khảo.","Phụ lục của HĐMBĐ.","Giấy tờ của khách hàng","Hồ sơ nội bộ của điện lực.","B"
"Đối tượng nào sau đây không áp dụng biện pháp bảo đảm thực hiện HĐMBĐ?","Khách hàng sản xuất có sản lượng 1.500.000 kWh/tháng","Khách hàng kinh doanh dịch vụ dưới 12 tháng","Khách hàng sử dụng điện với mục đích cấp điện cho trụ sở làm việc của cơ quan nhà nước, đơn vị sự nghiệp công lập, đơn vị lực lượng vũ trang, tổ chức chính trị - xã hội","Công ty cổ phần có vốn nhà nước dưới 50%","C"
"Trong vòng bao nhiêu ngày làm việc kể từ khi nhận được khiếu nại về thực hiện HĐMBĐ, đơn vị phải tổ chức giải quyết?","03 ngày","05 ngày","10 ngày","07 ngày","D"
"Khoản chi phí nào sau đây do Công ty Điện lực đầu tư khi cấp điện mới hạ áp?","Toàn bộ dây dẫn sau công tơ","Cột đỡ dây sau công tơ của khách hàng","Nhánh rẽ từ lưới điện hạ áp đến công tơ và aptomat bảo vệ công tơ","Thiết bị điện trong nhà khách hàng","C"
"Bảo đảm thực hiện HĐMBĐ được thực hiện bằng hình thức nào?","Đặt cọc","Bảo lãnh qua ngân hàng","Thế chấp tài sản","Bằng hình thức do các bên thỏa thuận trong HĐMBĐ; khuyến khích việc thực hiện biện pháp bảo lãnh qua ngân hàng","D"
"Khách hàng mua buôn để bán lẻ điện và ký kết HĐMBĐ ngắn hạn dưới 12 tháng, có phải thực hiện Bảo đảm HĐMBĐ không?","Không phải thực hiện","Có phải thực hiện","Chỉ thực hiện với khách hàng mua buôn điện để bán lẻ điện tại các khu công nghiệp.","Chỉ thực hiện khách hàng mua buôn điện để bán lẻ điện của tổ hợp thương mại - dịch vụ - sinh hoạt","B"
"Khách hàng mua buôn để bán lẻ điện có sản lượng điện đăng ký tại HĐMBĐ hoặc sản lượng điện thực tế sử dụng bình quân của 12 tháng gần nhất tiêu thụ bình quân từ 1.000.000 (một triệu) kWh/tháng trở lên có phải thực hiện Bảo đảm HĐMBĐ không?","Không phải thực hiện","Có phải thực hiện","Chỉ thực hiện với khách hàng mua buôn điện để bán lẻ điện tại các khu công nghiệp.","Chỉ thực hiện khách hàng mua buôn điện để bán lẻ điện của tổ hợp thương mại - dịch vụ - sinh hoạt","A"
"EVNHANOI quy định trang phục trong giao tiếp với khách hàng như thế nào?","Không quy định","Trang phục đúng theo quy định của ngành điện, đeo thẻ công vụ","Trang phục công sở","Trang phục quần áo bảo hộ màu cam","B"
"EVNHANOI có quy định gì cho CBNV khi thực hiện các công việc bên ngoài trụ sở đơn vị để giải quyết kiến nghị, phản ánh của khách hàng theo tin CRM?","Phải đeo thẻ nghiệp vụ; sử dụng trang phục công tác","Phải có phiếu công tác; sử dụng trang phục công tác","Phải có phiếu thao tác; sử dụng trang phục công tác","Phải có phiếu giao nhiệm vụ; sử dụng trang phục công tác","A"
"Trường hợp khách hàng bị tạm ngừng cung cấp điện do nợ, sau khi khách hàng đã thanh toán hết các khoản nợ thì phải thực hiện cấp điện trở lại trong thời gian tối đa là bao lâu?","60 phút","120 phút","180 phút","240 phút","B"
"Trường hợp khách hàng bị tạm ngừng cung cấp điện do nợ, nếu phải tính toán các khoản tiền nợ như: lãi chậm trả đối với giá trị Nghĩa Vụ Thanh toán bị vi phạm, phạt vi phạm hợp đồng… thì phải giải quyết trong thời gian tối đa là bao lâu?","1 ngày","2 ngày","3 ngày","4 ngày","C"
"Quy định thời gian tối đa để giải quyết kiến nghị, phản ánh của khách hàng về chỉ số công tơ, tình trạng hoạt động của công tơ, hóa đơn tiền điện và các trường hợp khẩn cấp là bao lâu?","12 giờ","24 giờ","36 giờ","48 giờ","B"
"Quy định thời gian liên hệ với khách hàng để giải quyết dịch vụ điện là bao lâu kể từ khi tiếp nhận được yêu cầu của khách hàng?","1 giờ","2 giờ","3 giờ","4 giờ","B"
"Thời hạn tiến hành xử lý sự cố là bao lâu kể từ khi phát hiện hoặc nhận được thông báo của bên mua điện về sự cố lưới điện?","01 giờ","02 giờ","12 giờ","24 giờ","B"
"Theo Quy định của EVNHANOI: tin nhắn thông báo tiền điện lần 1 được gửi đến khách hàng trong khoảng thời gian nào?","Không quá 3 giờ kể từ khi phát hành hóa đơn tiền điện trong tháng","Không quá 12 giờ kể từ khi phát hành hóa đơn tiền điện trong tháng","Không quá 24 giờ kể từ khi phát hành hóa đơn tiền điện trong tháng","Không quá 48 giờ kể từ khi phát hành hóa đơn tiền điện trong tháng","A"
